year,Alloclinus_holderi,Aplysia_californica,Apostichopus_parvimensis,Balanophyllia_elegans,Chromis_punctipinnis,Diopatra_ornata,Eisenia_arborea,Embiotoca_jacksoni,Embiotoca_lateralis,Girella_nigricans,Haliotis_corrugata,Haliotis_rufescens,Hypsypops_rubicundus,Laminaria_farlowii,Leptogorgia_chilensis,Lithopoma,Lytechinus_pictus,Lythrypnus_dalli,Macrocystis_pyrifera,Megathura_crenulata,Mesocentrotus_franciscanus,Muricea_fruticosa,Neobernaya_spadicea,Oxyjulis_californica,Panulirus_interruptus,Paralabrax_clathratus,Patiria_miniata,Pisaster_giganteus,Pterygophora_californica,Pycnopodia_helianthoides,Rhacochilus_vacca,Rhinogobiops_nicholsii,Sebastes_atrovirens,Sebastes_mystinus,Sebastes_serranoides,Semicossyphus_pulcher,Strongylocentrotus_purpuratus,Styela_montereyensis,Tethya_aurantium,Urticina_eques
2000,NA,8,42,279,16,363,0,14,0,1,0,1,3,0,2,884,5,NA,721,201,282,3,40,57,1,23,85,151,762,3,9,NA,1,30,2,27,6057,40,10,86
2001,0,14,130,383,58,3512,0,116,0,33,0,1,5,48,7,770,6,0,5359,235,270,33,17,134,7,75,143,351,1210,30,53,107,23,4,5,39,4101,106,14,97
2002,0,30,84,596,51,2513,0,81,0,11,0,0,4,5,10,431,2,0,12189,229,226,3,29,107,5,37,197,392,1566,21,58,273,13,3,4,54,3244,204,10,97
2003,5,1,92,440,44,3938,0,14,0,7,1,2,0,20,9,479,2,0,18160,203,144,0,10,28,2,17,251,445,2830,8,3,242,0,0,0,22,1785,241,10,84
2004,7,30,105,376,49,5059,100,23,8,8,0,4,9,10,27,469,25,0,11112,249,234,3,5,32,3,20,574,600,2835,13,17,196,5,6,0,24,1790,143,16,92
2005,5,16,38,434,109,4084,318,47,6,4,0,2,6,15,37,354,2,0,14919,172,145,4,1,131,5,14,572,509,4418,4,26,365,6,9,5,15,1190,247,16,92
2006,1,7,127,571,70,4497,183,162,0,28,0,0,8,71,20,431,6,0,11221,174,203,3,12,183,0,52,1103,595,5869,8,75,184,16,5,3,16,1340,194,17,90
2007,2,20,172,654,146,3965,240,70,0,59,1,3,13,46,19,276,2,34,16361,283,194,1,11,310,1,40,1771,783,7085,8,35,190,4,1,3,21,1517,319,27,95
2008,8,22,103,553,43,3675,353,93,3,46,0,0,10,156,22,222,37,0,16653,203,148,0,21,185,1,76,1549,758,8020,9,50,129,18,1,6,19,2194,435,23,97
2009,2,22,111,525,203,4090,719,77,2,74,1,1,12,159,15,190,2,192,11223,207,226,3,12,579,4,32,2078,885,5922,23,58,172,33,30,13,36,3250,226,26,95
2010,3,52,110,585,84,3443,753,66,1,7,1,0,17,152,14,82,12,35,5296,186,283,7,49,421,0,30,2067,958,4254,65,58,226,28,101,1,23,3243,221,36,84
2011,0,46,68,541,123,3331,514,107,5,30,0,1,9,73,14,52,3,3,8159,148,253,2,19,320,2,48,1913,680,3282,30,51,67,26,49,15,28,2774,132,27,84
2012,0,35,51,301,1,1962,413,62,6,28,0,1,10,105,12,63,5,0,8716,130,544,2,23,163,0,19,1802,751,2706,27,49,136,38,82,9,27,2482,145,25,87
2013,7,52,54,651,40,3669,475,136,9,8,0,1,9,169,8,49,6,1,10812,96,516,1,18,91,4,169,1607,790,2617,27,84,156,25,318,5,40,2317,64,20,84
2014,0,24,26,475,108,2441,259,92,9,4,0,1,12,182,13,47,7,0,10401,99,378,0,13,238,15,95,866,4,2251,0,27,150,25,67,43,21,2029,33,21,84
2015,3,60,17,878,132,1151,260,33,6,6,0,1,3,364,15,178,2,68,16848,124,254,5,26,185,13,153,162,10,803,0,15,145,9,76,1,65,1780,24,16,84
2016,11,53,46,342,393,1215,349,17,4,50,1,1,14,264,14,247,1,518,16351,102,78,1,13,315,21,230,37,9,152,0,12,42,11,33,2,122,663,31,13,78
2017,5,10,21,359,122,3327,262,96,0,8,0,0,21,208,19,611,48,441,18075,105,86,0,13,298,38,138,88,10,772,0,16,5,6,6,5,83,756,141,15,72
2018,19,1,26,475,166,2982,252,36,0,28,0,2,23,220,24,714,109,697,12905,212,323,4,14,218,39,161,259,15,961,0,7,15,6,0,6,103,2011,171,18,96
